,actor_name,actor_facebook_likes,actor_oscar_nom
0,CCH Pounder,1000.0,
4,Doug Walker,131.0,
5,Daryl Sabara,640.0,
7,Brad Garrett,799.0,
8,Chris Hemsworth,26000.0,
9,Alan Rickman,25000.0,
10,Henry Cavill,15000.0,
13,Peter Dinklage,22000.0,
15,Aidan Turner,5000.0,
17,Mark Addy,891.0,
18,Christopher Lee,16000.0,
23,Bryce Dallas Howard,3000.0,
26,Steve Buscemi,12000.0,
27,Glenn Morshower,894.0,
28,Bingbing Li,974.0,
29,Tim Holmes,44000.0,
31,Joe Mantegna,1000.0,
32,Ryan Reynolds,16000.0,
35,Jason Statham,26000.0,
36,Peter Capaldi,17000.0,
39,Eddie Marsan,979.0,
41,Charlie Hunnam,16000.0,
43,A.J. Buckley,275.0,
44,Kelly Macdonald,2000.0,
45,Sofia Boutella,998.0,
46,John Ratzenberger,1000.0,
47,Tzi Ma,268.0,
48,Oliver Platt,1000.0,
49,Robin Wright,18000.0,
50,Channing Tatum,17000.0,
52,Amy Poehler,1000.0,
53,Chloë Grace Moretz,17000.0,
54,Jet Li,5000.0,
55,Jimmy Bennett,87000.0,
57,Jeanne Tripplehorn,711.0,
58,Joseph Gordon-Levitt,23000.0,
60,Angelina Jolie Pitt,11000.0,
62,Tamsin Egerton,622.0,
63,Keanu Reeves,18000.0,
64,Jon Hamm,4000.0,
65,Judy Greer,2000.0,
66,Damon Wayans Jr.,756.0,
67,Jack McBrayer,975.0,
68,Vivica A. Fox,890.0,
69,Gerard Butler,18000.0,
70,Nick Stahl,648.0,
73,Mark Chinnery,544.0,
74,Paul Walker,23000.0,
77,Justin Timberlake,3000.0,
78,Dominic Cooper,3000.0,
79,Bruce Spence,531.0,
80,Jennifer Garner,3000.0,
81,Zack Ward,662.0,
83,Robert Pattinson,21000.0,
84,Janeane Garofalo,1000.0,
85,Bernie Mac,1000.0,
87,Essie Davis,309.0,
88,Josh Gad,1000.0,
89,Steve Bastoni,234.0,
90,Kelli Garner,730.0,
91,Matthew Broderick,2000.0,
92,Seychelle Gabriel,1000.0,
94,Elisabeth Harnois,921.0,
95,Ty Burrell,3000.0,
96,Jada Pinkett Smith,851.0,
97,Toby Stephens,769.0,
98,Ed Begley Jr.,783.0,
99,Bruce Willis,13000.0,
100,John Michael Higgins,957.0,
102,Matt Frewer,986.0,
103,Kevin Rankin,820.0,
104,Chris Evans,11000.0,
105,Colin Salmon,766.0,
106,James D'Arcy,613.0,
107,Don Johnson,982.0,
110,Jim Parsons,17000.0,
