,actor_name,actor_facebook_likes,actor_oscar_nom
0,Tom Hardy,27000.0,1
1,J.K. Simmons,24000.0,1
2,Giancarlo Giannini,451.0,1
3,Liam Neeson,14000.0,1
4,Hugh Jackman,20000.0,1
5,Benedict Cumberbatch,19000.0,1
6,Jake Gyllenhaal,15000.0,1
7,Harrison Ford,11000.0,1
8,Jim Broadbent,1000.0,1
9,Matthew McConaughey,11000.0,1
10,Sam Shepard,820.0,1
11,Mark Rylance,535.0,1
12,Salma Hayek,4000.0,1
13,Alfre Woodard,1000.0,1
14,Chazz Palminteri,979.0,1
15,Oprah Winfrey,852.0,1
16,James Franco,11000.0,1
17,Bill Murray,13000.0,1
18,Haley Joel Osment,3000.0,1
19,Don Cheadle,3000.0,1
20,Bob Hoskins,5000.0,1
21,F. Murray Abraham,670.0,1
22,Anna Kendrick,10000.0,1
23,Steve Carell,7000.0,1
24,Albert Brooks,745.0,1
25,Frank Langella,903.0,1
26,Charlotte Rampling,844.0,1
27,Rami Malek,3000.0,1
28,Quvenzhané Wallis,2000.0,1
29,Eileen Brennan,1000.0,1
30,Robert Forster,889.0,1
31,Armin Mueller-Stahl,294.0,1
32,Rosie Perez,919.0,1
33,Candice Bergen,545.0,1
34,Demián Bichir,749.0,1
35,Virginia Madsen,913.0,1
36,Sam Waterston,849.0,1
37,Daniel Kaluuya,219.0,1
38,Imelda Staunton,579.0,1
39,Andrew Garfield,10000.0,1
40,Sally Kirkland,433.0,1
41,Lorraine Bracco,472.0,1
42,Catherine Deneuve,964.0,1
43,Stephen Rea,327.0,1
44,Mira Sorvino,978.0,1
45,Carol Kane,636.0,1
46,Jennifer Jason Leigh,1000.0,1
47,Mo'Nique,940.0,1
48,Kathleen Quinlan,551.0,1
49,Stockard Channing,944.0,1
50,Tatum O'Neal,288.0,1
51,Keisha Castle-Hughes,446.0,1
52,Cicely Tyson,907.0,1
53,Richard E. Grant,554.0,1
54,David Paymer,372.0,1
55,James Coburn,773.0,1
56,George Kennedy,3000.0,1
57,Joan Plowright,330.0,1
58,Elizabeth McGovern,553.0,1
59,Jackie Gleason,491.0,1
60,Ryan O'Neal,385.0,1
61,Rip Torn,826.0,1
62,Woody Allen,11000.0,1
63,Lena Olin,541.0,1
64,Lee Remick,264.0,1
65,Frank Finlay,338.0,1
66,Tom Berenger,854.0,1
67,Minnie Driver,893.0,1
68,Seymour Cassel,327.0,1
69,Rock Hudson,638.0,1
70,Dean Stockwell,936.0,1
71,Peter Firth,141.0,1
72,Janet Leigh,606.0,1
