,actor_name,actor_facebook_likes,actor_oscar_nom
0,Johnny Depp,40000.0,3
1,Emma Stone,15000.0,3
2,Leonardo DiCaprio,29000.0,6
3,Albert Finney,883.0,5
4,Jeff Bridges,12000.0,7
5,Tom Hanks,15000.0,6
6,Christian Bale,23000.0,4
7,Jennifer Lawrence,34000.0,4
8,Tom Cruise,10000.0,3
9,Bradley Cooper,14000.0,4
10,Brad Pitt,11000.0,4
11,Anthony Hopkins,12000.0,5
12,Robin Williams,49000.0,4
13,Philip Seymour Hoffman,22000.0,4
14,Matt Damon,13000.0,3
15,Morgan Freeman,11000.0,5
16,Natalie Portman,20000.0,3
17,Kate Winslet,14000.0,7
18,Denzel Washington,18000.0,8
19,Robert De Niro,22000.0,7
20,Holly Hunter,1000.0,4
21,Meryl Streep,11000.0,21
22,Al Pacino,14000.0,9
23,Julia Roberts,8000.0,4
24,Robert Duvall,3000.0,7
25,Vanessa Redgrave,898.0,6
26,Charlize Theron,9000.0,3
27,Martin Landau,940.0,3
28,Anjelica Huston,1000.0,3
29,Marlon Brando,10000.0,8
30,James Mason,617.0,3
31,Viggo Mortensen,10000.0,3
32,Laurence Olivier,1000.0,9
33,Warren Beatty,631.0,4
34,Ellen Burstyn,1000.0,6
35,Piper Laurie,303.0,3
36,Dianne Wiest,967.0,3
37,Sissy Spacek,874.0,6
38,Rod Steiger,279.0,3
39,Jason Robards,372.0,3
40,Joan Allen,805.0,3
41,Julie Christie,597.0,4
42,Claude Rains,607.0,4
43,William Hurt,882.0,4
44,Jack Palance,549.0,3
45,George C. Scott,654.0,4
46,Richard Burton,726.0,7
47,Jane Fonda,949.0,7
48,Peter Ustinov,440.0,3
49,Eleanor Parker,354.0,3
50,Faye Dunaway,977.0,3
51,William Holden,682.0,3
52,Teresa Wright,208.0,3
53,Gary Cooper,998.0,5
54,Montgomery Clift,862.0,4
55,Gladys Cooper,89.0,3
56,Maximilian Schell,877.0,3
57,Spencer Tracy,760.0,9
58,Agnes Moorehead,960.0,4
59,Humphrey Bogart,2000.0,3
60,Claudette Colbert,380.0,3
61,James Cagney,786.0,3
62,Marcello Mastroianni,866.0,3
63,Shelley Winters,367.0,4
64,Debra Winger,568.0,3
65,Anne Bancroft,754.0,5
66,José Ferrer,202.0,3
67,Deborah Kerr,426.0,6
68,Diane Ladd,206.0,3
69,Walter Brennan,376.0,4
70,Melvyn Douglas,189.0,3
71,Greer Garson,284.0,7
72,Celeste Holm,297.0,3
73,Joan Fontaine,991.0,3
74,Jane Wyman,160.0,4
75,Ronald Colman,135.0,3
76,Jennifer Jones,332.0,5
77,Thelma Ritter,268.0,6
78,Irene Dunne,315.0,5
