Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
Drive,0.0,7,13.0,15,2011,Ryan Gosling,Carey Mulligan,Albert Brooks,Nicolas Winding Refn,100,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.0,0.0,1.0,0.0,1.0,0.0,33000.0,367.0,745.0,0.0,0.0,69.0,0.0,34337.0
American Son,50.0,24,47.0,282,2008,Nick Cannon,Melonie Diaz,Matt O'Leary,Neil Abramson,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,593.0,270.0,303.0,0.0,0.0,0.0,232.0,0.0
Primal,38.0,32,27.0,48,2010,Zoe Tuckwell-Smith,Krew Boylan,Lindsay Farris,Josh Reed,84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Kill Team,70.0,47,43.0,63,2014,Adam Winfield,Jeremy Morlock,Andrew Holmes,Dan Krauss,79,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Trick,32.0,25,45.0,51,1999,Christian Campbell,John Paul Pitoc,Tori Spelling,Jim Fall,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,168.0,367.0,396.0,0.0,0.0,0.0,13.0,0.0
In the Shadow of the Moon,59.0,51,36.0,256,2007,Buzz Aldrin,Jim Lovell,Alan Bean,David Sington,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,367.0,367.0,0.0,0.0,0.0,90.0,408.0
Bliss,90.0,39,63.0,73,1997,Craig Sheffer,Sheryl Lee,Terence Stamp,Lance Young,103,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,391.0,2000.0,367.0,0.0,0.0,0.0,232.0,0.0
Quartet,47.0,15,32.0,112,2013,Maggie Smith,Tom Courtenay,Billy Connolly,Dustin Hoffman,98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6.0,2.0,2.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,0.0,1114.0
Skin,76.0,78,84.0,296,2009,Sophie Okonedo,Alice Krige,Sam Neill,Anthony Fabian,107,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,460.0,368.0,367.0,0.0,0.0,0.0,232.0,0.0
Crawl,83.0,185,75.0,7593,2011,Swann Arlaud,Anne Marivin,Nina Meurisse,Herv Lasgouttes,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Shaft,32.0,124,94.0,7727,2000,Samuel L. Jackson,Vanessa L. Williams,Jeffrey Wright,John Singleton,98,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,1.0,0.0,0.0,309.0,26527.0
Child's Play,63.0,196,57.0,5796,1988,Catherine Hicks,Chris Sarandon,Alex Vincent,Tom Holland,95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,311.0,367.0,189.0,0.0,0.0,0.0,85.0,760.0
Anna,36.0,67,81.0,2225,2014,Taissa Farmiga,Mark Strong (II),Brian Cox,Jorge Dorado,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Haunt,71.0,42,100.0,8,2014,Harrison Gilbertson,Liana Liberato,Jacki Weaver,Mac Carter,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0,0.0,174.0,367.0,401.0,0.0,0.0,0.0,232.0,0.0
Amazing Grace,99.0,153,81.0,310,2007,Ioan Gruffudd,Romola Garai,Michael Gambon,Michael Apted,116,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,805.0,367.0,0.0,0.0,0.0,150.0,0.0
The Edge of Love,37.0,59,43.0,53725,2008,Keira Knightley,Matthew Rhys,Cillian Murphy,John Maybury,111,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,11.0,0.0
Hellboy,17.0,208,49.0,4505,2004,Ron Perlman,John Hurt,Selma Blair,Guillermo del Toro,122,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,2.0,0.0,0.0,0.0,367.0,367.0,367.0,1.0,1.0,95.0,0.0,1112.0
